Name,Latitude,Longitude
Elvis (Έλβις),37.981185,23.716327
Ραφίκι,37.983353,23.711785
Ρακορ,37.980504,23.717213
Λάικα,37.98295,23.711553
Τα Καραμανλιδικα Του Φανη,37.979968,23.725805
Τα Καραμανλίδικα του Φάνη - Μεζετζίδικο,37.977063,23.722809
Crust,37.977906,23.725559
Match Point,37.991636,23.730872
Feyrouz,37.978241,23.727821
Falafellas,37.978356,23.727915
Anäna,37.979146,23.729015
Smak. Athens,37.977447,23.73024
Άμα Λάχει στης Νεφέλης,37.987919,23.736821
Yiasemi (Γιασεμί),37.973493,23.727897
Sushimou,37.974472,23.732407
Little Tree Books & Coffee,37.968316,23.72736
Billy's,37.96188,23.740505
Guarantee,37.96605,23.726135
Lotte,37.967143,23.727031
Tuk Tuk,37.966126,23.725656
Press Cafe,37.971547,23.745
Simul,37.977926,23.750412
Ο Έλβις,37.967691,23.743554
Baba Ghanoush,37.965559,23.743612
Naif,37.957171,23.7194
Αχιλλέας Σουβλάκια,37.959832,23.733048
5Φ,37.972548,23.753588
Mind The Cup,38.011807,23.693201
Qahwa Coffee Bar,37.991625,23.677926
Momo,37.957146,23.701324
Lefkes (Λεύκες),38.013535,23.75072
Kenko Modish Sushi Bar,37.947263,23.714983
Just Pizza,37.972397,23.768007
Madania (Μαντανία),37.947683,23.736904
Ο Νίκος,37.944522,23.710391
Μικρασιάτικο Μεζεδοπωλείο Ζωγράφου,37.975067,23.767902
Χοχλιδάκι,37.9996,23.772747
Ντεμέκ Μεζεδοπωλείο,38.031431,23.736311
Το Δραμι,37.987648,23.659321
Junction in the yard,37.975018,23.767372
Foofootos,37.982614,23.770476
Qassabah,37.976423,23.776368
Το Παραδοσιακο Ψητοπωλειο Του Ζωγραφου,37.972647,23.779412
Τοξότης,37.972985,23.650217
Φυσαρμόνικα Μεζεδοποτείον,38.000924,23.787988
Λαδόκολλα Μπάρμπα Μήτσος,37.929849,23.719228
Leonidas Chocolate Café,38.012213,23.786408
Pizzaiolo,38.000479,23.792981
Έξη - Exi Bakery & Cafe,37.930983,23.754093
Peperi (Πέπερι),38.043387,23.75313
