Name,Latitude,Longitude
National Garden (Εθνικός Κήπος),37.97345,23.737892
Concert Hall Gardens (Κήπος Μεγάρου Μουσικής Αθηνών),37.98167,23.75306
Άλσος Λυκαβηττού,37.984042,23.741339
Nea Smirni Grove (Άλσος Νέας Σμύρνης),37.949762,23.716308
Stavros Niarchos Park (Πάρκο Σταύρος Νιάρχος),37.941364,23.692307
Great Lawn (SNFCC) (Ξέφωτο (ΚΠΙΣΝ)),37.93995,23.69187
Veikou Grove (Άλσος Βεΐκου),38.02831,23.764326
Αττικό Άλσος,38.003376,23.760363
Skopeftirio Grove (Άλσος Σκοπευτηρίου),37.964858,23.762114
Άλσος Περιστερίου,38.018005,23.683289
Άλσος Παπάγου,37.99336,23.794187
Άλσος Ψυχικού,38.011131,23.775958
Flisvos Park (Πάρκο Φλοίσβου),37.927885,23.688284
Άλσος Φιλοθέης,38.022022,23.779723
Άλσος Πετρούπολης,38.044641,23.685965
Άλσος Συγγρού,37.97403,23.757275
Πάρκο Ηρώδου Αττικού,37.975757,23.719282
St. George's Park - Trocadero (Πάρκο Αγίου Γεωργίου - Τροκαντερό),37.933492,23.690089
Πάρκο περιβαλλοντικής ευαισθητοποίησης 'Αντώνης Τρίτσης',38.044927,23.724162
Pani Hill (Λόφος Πανί),37.913153,23.730729
Άλσος Προμπονά,38.031098,23.73995
Πάρκο Αλίμου,37.910622,23.71057
Πάρκο Ελευθερίας,37.983095,23.753207
Petroupoli Park,38.036012,23.689343
Esplanada (Εσπλανάδα),37.936128,23.691079
Κηποθέατρο Παπάγου,37.992607,23.796031
Άλσος Γουδή,37.98444,23.773745
Πάρκο Κεραμεικού,37.977672,23.715254
Άλσος Περιπάτου,37.982779,23.791054
Κτήμα Συγγρού,38.061566,23.815806
Kaisariani Municipal Park (Δημοτικό Πάρκο Καισαριανής),37.966439,23.773148
Άλσος Μιχάλη Πουλάκη,38.022205,23.780066
Mikis Theodorakis Park (Πάρκο Μίκης Θεοδωράκης),38.03749,23.836207
Πάρκο Αγίας Φιλοθέης,38.028222,23.783843
Δάσος Καισαριανής,37.9617,23.797321
Αττικό Πάρκο Βριλησσίων-Χαλανδρίου,38.028791,23.825478
Kifissia Grove (Άλσος Κηφισιάς),38.072956,23.809053
Άλσος Αιγάλεω Μπαρουτάδικο,37.994217,23.676529
Αρχαιολογικό Πάρκο Ακαδημίας Πλάτωνος,37.992384,23.709071
Άλσος Διονύσου,38.013071,23.757206
Σελεπίτσαρι,37.966777,23.627157
Προφήτης Ηλίας,38.007817,23.657782
Πάρκο Σχολής Χωροφυλακής,37.989818,23.770735
Πρότυπο Οικογενειακό Πάρκο Αργυρούπολης-Ελληνικού,37.91478,23.751067
Άλσος Αγίου Φιλίππου,37.973721,23.637002
Πάρκο Σκύλων,37.996163,23.801193
Άλσος Χολαργού,37.996297,23.803012
Κτήμα Τατοΐου,38.15697,23.794545
