Name,Latitude,Longitude,Local_type
Can Dendê,41.39836,2.198345,Restaurants
La Tavernícola,41.400358,2.197944,Restaurants
Little Fern,41.402328,2.197571,Restaurants
Parking Pizza,41.396301,2.174171,Restaurants
Elsa y Fred,41.389795,2.17976,Restaurants
Funky Bakers,41.394916,2.172866,Restaurants
Casa Lolea Barcelona,41.388833,2.177238,Restaurants
Barestaurant L’Univers,41.38642,2.178275,Restaurants
Bar Andalucía,41.40301,2.207488,Restaurants
Forn Baluard,41.379982,2.18887,Restaurants
BelleBuon,41.411346,2.173289,Restaurants
Honest Greens Rambla Catalunya,41.387526,2.167989,Restaurants
Ciutat Comtal,41.388858,2.166857,Restaurants
Baluard,41.396235,2.163216,Restaurants
Vinitus,41.389977,2.164035,Restaurants
Macchina Pasta Bar,41.380122,2.176738,Restaurants
La Pepita,41.398016,2.161031,Restaurants
Cecconi's,41.37848,2.179446,Restaurants
Cervecería Catalana,41.392376,2.160808,Restaurants
Bar Cañete,41.379099,2.173131,Restaurants
Forn Mistral,41.384608,2.1641,Restaurants
Pizza Circus,41.377945,2.172923,Restaurants
La Flauta,41.386876,2.161108,Restaurants
Comida de Olla,41.412203,2.164128,Restaurants
El Pachuco,41.376494,2.1691,Restaurants
Chivuo's,41.40495,2.153926,Restaurants
Rekons,41.380631,2.160955,Restaurants
Parking Pizza,41.393794,2.151435,Restaurants
Quimet & Quimet,41.37392,2.165612,Restaurants
Ugot Bruncherie,41.381367,2.155379,Restaurants
The Egg Lab,41.378512,2.156292,Restaurants
Copasetic Barcelona,41.380191,2.153277,Restaurants
Manso's Café,41.375466,2.15879,Restaurants
The Fish & Chips Shop,41.378592,2.154501,Restaurants
El Asador de Aranda,41.430292,2.185992,Restaurants
Mantequerias Pirenaicas,41.401941,2.139299,Restaurants
Triki-Trac,41.381494,2.14144,Restaurants
Txokoa Barcelona,41.390107,2.138875,Restaurants
Negro-Rojo,41.390963,2.13547,Restaurants
El Asador de Aranda,41.413324,2.134448,Restaurants
Kobuta Ramen,41.369808,2.133189,Restaurants
Granja Elena,41.362754,2.137446,Restaurants
Antichi Sapori de Angelis,41.375874,2.119249,Restaurants
Plats,41.359379,2.073295,Restaurants
Can Pizza Prat,41.325417,2.09885,Restaurants
CÈNTRIC Gastrobar by ONA nuit,41.322088,2.09416,Restaurants
Serrajòrdia,41.46827,2.079203,Restaurants
La Burgueseria,41.466996,2.078581,Restaurants
Can Ferran,41.512784,2.05169,Restaurants
Can Mont Cad,41.582304,2.131627,Restaurants
Gym,41.411948,2.21964,Gym
El Gym,41.358391,2.124174,Gym
W Hotel Gym,41.368857,2.190458,Gym
VivaGym Meridiana,41.426125,2.185266,Gym
Viva Gym Glories,41.404614,2.191027,Gym
Viva Gym Bruc,41.392726,2.171336,Gym
VivaGym Londres,41.392241,2.148738,Gym
VivaGym Entença,41.381885,2.147109,Gym
Viva Gym Av. Roma,41.381185,2.145531,Gym
Club Metropolitan,41.401771,2.17122,Gym
CEM Can Felipa,41.403621,2.200412,Gym
Club Metropolitan Balmes,41.39837,2.150968,Gym
CrossFit Eixample,41.392478,2.176902,Gym
Holmes Place Balmes,41.388832,2.16353,Gym
Iradier Club Mujer,41.404879,2.126481,Gym
Club Natació Atlètic-Barceloneta,41.373104,2.18862,Gym
Holmes Place,41.38887,2.163826,Gym
Metropolitan Spain,41.381523,2.133549,Gym
Arsenal Amigó,41.397384,2.142336,Gym
La Huella Crossfit Barcelona,41.385973,2.150183,Gym
Club Natacio Sant Andreu,41.429957,2.18635,Gym
Centre Esportiu Joan Miró,41.378479,2.150979,Gym
Reebok Crossfit BCN,41.394629,2.181609,Gym
Nova Icària Esports Club,41.392158,2.197759,Gym
Climbat Foixarda,41.366506,2.148303,Gym
Club Metropolitan,41.376249,2.148901,Gym
Anytime Fitness Ciutadella,41.393061,2.186539,Gym
Club Metropolitan,41.449848,2.248335,Gym
Claror Sardenya,41.404562,2.171505,Gym
