Name,Latitude,Longitude
Collage Art & Cocktails Social Club,41.382565,2.181517
Old Fashioned,41.398037,2.159761
Paradiso,41.383693,2.183671
Kӕlderkold,41.381708,2.173324
Can Cisa,41.384839,2.179958
La Vinya del Senyor,41.383284,2.181806
Viblioteca,41.402844,2.157227
La Rovira,41.407459,2.15806
Tandem Cocktail Bar,41.389615,2.157902
Senyor Vermut,41.385903,2.149395
Perikete,41.381289,2.183356
Bodega Sopena,41.407881,2.188106
Chulapio,41.379282,2.165844
La Vicoca - Bar de Vins,41.374218,2.144304
Two Schmucks,41.383166,2.165252
Zim,41.383062,2.178304
Bodega Armando,41.3799,2.164802
Mosquito Sunset Club,41.361856,2.099593
Bloody Mary Cocktail Lounge,41.398333,2.159158
El Chigre 1769,41.38631,2.18309
Orvay,41.384081,2.182587
14 de la Rosa,41.399322,2.159734
Blavis,41.403394,2.147339
Hotel Arts Ritz Club Lounge,41.386653,2.196624
Tirsa Bcn Cocktail Bar,41.382545,2.147317
Fat Schmuck,41.381243,2.166841
Bodega la General,41.376872,2.134959
Bar Andalucía,41.40301,2.207488
Cervecería Catalana,41.392376,2.160808
Ciutat Comtal,41.388858,2.166857
La Micro Cerveseria,41.546741,2.10317
Companyia d'Alella,41.493118,2.293319
El Xampanyet,41.384569,2.18178
La Pepita,41.398016,2.161031
Vinitus,41.389977,2.164035
La Flauta,41.386876,2.161108
El Nacional,41.390683,2.16846
Quimet & Quimet,41.37392,2.165612
La Tasqueta de Blai,41.373432,2.165364
Tlaxcal,41.385021,2.184269
Casa Lolea Barcelona,41.388833,2.177238
Elsa y Fred,41.389795,2.17976
Chivuo's,41.40495,2.153926
Bar Cañete,41.379099,2.173131
El Pachuco,41.376494,2.1691
Chivuo's,41.382918,2.170022
Sensi,41.380318,2.180076
La Cervecita Nuestra de Cada Día,41.400385,2.201558
W Barcelona,41.368526,2.19014
Can Dendê,41.39836,2.198345
