Name,Latitude,Longitude
Gym,41.411948,2.21964
El Gym,41.358391,2.124174
W Hotel Gym,41.368857,2.190458
VivaGym Meridiana,41.426125,2.185266
Viva Gym Glories,41.404614,2.191027
Viva Gym Bruc,41.392726,2.171336
VivaGym Londres,41.392241,2.148738
VivaGym Entença,41.381885,2.147109
Viva Gym Av. Roma,41.381185,2.145531
Club Metropolitan,41.401771,2.17122
CEM Can Felipa,41.403621,2.200412
Club Metropolitan Balmes,41.39837,2.150968
CrossFit Eixample,41.392478,2.176902
Holmes Place Balmes,41.388832,2.16353
Iradier Club Mujer,41.404879,2.126481
Club Natació Atlètic-Barceloneta,41.373104,2.18862
Holmes Place,41.38887,2.163826
Metropolitan Spain,41.381523,2.133549
Arsenal Amigó,41.397384,2.142336
La Huella Crossfit Barcelona,41.385973,2.150183
Club Natacio Sant Andreu,41.429957,2.18635
Centre Esportiu Joan Miró,41.378479,2.150979
Reebok Crossfit BCN,41.394629,2.181609
Nova Icària Esports Club,41.392158,2.197759
Climbat Foixarda,41.366506,2.148303
Club Metropolitan,41.376249,2.148901
Anytime Fitness Ciutadella,41.393061,2.186539
Club Metropolitan,41.449848,2.248335
Claror Sardenya,41.404562,2.171505
AltaFit Diagonal,41.397929,2.168218
Polideportivo Municipal Francesc Calvet,41.369019,2.063877
CEM Maresme,41.412289,2.213331
CEM Parc de la Ciutadella,41.385579,2.18636
Gimnasio McFIT Barcelona Universitat,41.388035,2.165913
Metropolitan Gran Vía,41.346641,2.109578
Poliesportiu Municipal Frontó Colom,41.377923,2.176301
Fundacio Privada Claror,41.406923,2.179634
Nick Spa & Sports Club,41.427063,2.165741
Holmes Place Europolis Les Corts,41.385564,2.134994
DiR Diagonal,41.393546,2.136552
DiR Club Hispà,41.431167,2.148989
Aiguajoc,41.376324,2.163818
Duet Fit Sagrada Familia,41.407336,2.180823
10.01 Health Coach,41.382032,2.156737
Gimnasio Dona10 Wellness Center,41.386935,2.146379
Activitats Esportives Eixample,41.380382,2.14991
David Lloyd Club Turó,41.383016,2.107909
McFit,41.390073,2.143225
Seven DiR,41.392843,2.162325
Centre Esportiu Municipal Premià,41.492765,2.364081
