Name,Latitude,Longitude
Escola Oficial d'Idiomes,41.376799,2.173472
Escola Oficial d´Idiomes Barcelona Vall d´Hebron,41.4268,2.13849
Agora Sant Cugat International School,41.494532,2.077463
Escola Oficial D. Idiomes de Sabadell,41.55325,2.112351
Centre D'educacio Infantil I Primaria Ramon Llull,41.400852,2.17776
Vila Olímpica,41.39396,2.202743
Maristes la Immaculada,41.399027,2.171938
PRBB - Parc de Recerca Biomèdica de Barcelona,41.38509,2.19455
Kiddys Music,41.404544,2.164833
Guinardó,41.415203,2.16726
CEIP Rosa dels Vents,41.425468,2.18912
Escola Oficial d'Idiomes,41.423669,2.208783
Escola Virolai,41.417227,2.152572
The English School,41.418648,2.142869
Escola Projecte,41.41178,2.136
Col.legi Sta. Dorotea,41.39262,2.129386
A Tempo Estudis Musicals,41.383315,2.130392
Llar d'infants Mickey Mouse,41.38513,2.128074
Parc de pràctiques de Trànsit Montjuïc,41.359558,2.146768
Facultat de Dret UB,41.387792,2.12054
ESADE Facultad de Derecho,41.394341,2.114898
Betania Patmos,41.396389,2.109838
Escola Prat de la Manta,41.359629,2.127359
Escola Paco Candel,41.360372,2.121489
IES Ausiàs March,41.386343,2.105883
Highlands School Barcelona,41.382313,2.094364
The American School Of Barcelona,41.383986,2.084527
Autoescuela Requena,41.365944,2.073002
Escola bressol Font Freda,41.489958,2.189365
Stucom,41.385784,2.165148
Europa International School,41.469677,2.094243
Mas Rampinyo,41.498073,2.17865
Federacion Catalana de Tenis,41.348861,2.069561
Escola Oficial d'Idiomes,41.476755,2.089846
Facultat de Medicina UAB,41.498351,2.105458
Facultat de Dret UAB,41.500883,2.105536
Escola Thau,41.492569,2.069768
Col.legi la Vall,41.510766,2.091411
Sant Nicolau,41.545653,2.112793
Escola de Municipal de Música,41.550744,2.245053
Bon Soleil,41.27267,2.000048
Escola Lluís Vives,41.275788,1.976248
EPS Centro de Formacion de la Motocicleta,41.427478,2.17115
Hospital Universitari Germans Trias i Pujol,41.480877,2.237717
Biblioteca Poblenou-Manuel Arranz,41.401412,2.204491
Biblioteca Xavier Benguerel,41.392655,2.19771
Metropolitan Gran Vía,41.346641,2.109578
CEM Parc de la Ciutadella,41.385579,2.18636
Residencia Campus del Mar,41.382625,2.191039
Biblioteca Joan Miró,41.378639,2.149179
