Name,Latitude,Longitude
By The Wine - José Maria da Fonseca,38.709083,-9.143729
Grapes & Bites,38.712044,-9.143872
Cinco Lounge,38.714204,-9.149793
Foxtrot,38.714001,-9.152002
Graça do Vinho,38.714859,-9.130835
Topo,38.716759,-9.136538
Cockpit Bar,38.744704,-9.141055
Gin Lovers Principe Real,38.716874,-9.148352
Casa Independente,38.720821,-9.134548
Taproom Oitava Colina,38.718439,-9.131838
Damas,38.716516,-9.129279
Senhor Uva,38.714364,-9.15685
Fábrica da Musa,38.738841,-9.102962
BacoAlto,38.711292,-9.143668
Rocco,38.709586,-9.140484
Farès,38.708504,-9.146296
Quiosque Ribeira das Naus,38.705556,-9.14156
Rubro Avenida,38.722197,-9.146165
Pensão Amor,38.707219,-9.143596
Time Out Market Lisboa,38.707049,-9.145948
Ground Burger,38.73541,-9.154459
Tapa Bucho,38.714233,-9.145118
O Purista - Barbière,38.712114,-9.142319
Da Prata 52,38.709676,-9.136264
Restaurante Laurentina - O Rei do Bacalhau,38.73707,-9.151371
À Parte,38.733559,-9.14277
Cervejaria Ramiro,38.720278,-9.135726
Café da Garagem,38.715509,-9.132756
Mercado da Ribeira,38.706902,-9.145768
A Tasquinha do Lagarto,38.734531,-9.164548
LX Factory,38.703404,-9.178763
Forno d'Oro,38.723484,-9.154295
Casa Nepalesa,38.73864,-9.151451
Yes! Lisbon Hostel,38.709181,-9.137808
Frankie,38.753114,-9.152892
JNcQUOI,38.720303,-9.144972
Taberna Sal Grosso,38.713698,-9.124194
Miradouro de São Pedro de Alcântara,38.715135,-9.144277
Go Juu,38.736119,-9.152153
Restaurante Frade dos Mares,38.708403,-9.153135
Clube de Jornalistas,38.710071,-9.159376
Restaurante Belcanto,38.709859,-9.141401
Fumeiro de Santa Catarina,38.70987,-9.149197
Calouste Gulbenkian Foundation (Fundação Calouste Gulbenkian),38.737389,-9.154629
EPIC SANA Lisboa Hotel,38.72447,-9.158473
Largo do Chiado,38.710674,-9.142195
Jardim Zoológico de Lisboa,38.743107,-9.169216
Praça do Comércio,38.707826,-9.136661
Memmo Alfama,38.710165,-9.130516
Gula's for Kitchen Lover's,38.737275,-9.141893
