Name,Latitude,Longitude,Local_type
Nómada,38.737893,-9.149409,restaurants
Casa Nepalesa,38.73864,-9.151451,restaurants
Restaurante Laurentina - O Rei do Bacalhau,38.73707,-9.151371,restaurants
À Parte,38.733559,-9.14277,restaurants
Ground Burger,38.73541,-9.154459,restaurants
A Tasquinha do Lagarto,38.734531,-9.164548,restaurants
Jockey Restaurante,38.757231,-9.161214,restaurants
Forno d'Oro,38.723484,-9.154295,restaurants
Rubro Avenida,38.722197,-9.146165,restaurants
SEEN by Olivier Lisboa,38.72105,-9.147013,restaurants
JNcQUOI,38.720303,-9.144972,restaurants
Cervejaria Ramiro,38.720278,-9.135726,restaurants
Seagull Method Café,38.714645,-9.150025,restaurants
Café da Garagem,38.715509,-9.132756,restaurants
Fabrica da Nata,38.712745,-9.138587,restaurants
Volver by Chakall,38.770188,-9.1608,restaurants
Quase Café,38.713454,-9.130241,restaurants
Beher Lisboa,38.712388,-9.137638,restaurants
Il Matriciano,38.711938,-9.152855,restaurants
Miss Can Petiscaria,38.712045,-9.131178,restaurants
Quiosque Portas do Sol,38.712211,-9.130051,restaurants
Bifanas do Sr. Afonso,38.711528,-9.135633,restaurants
Taberna Sal Grosso,38.713698,-9.124194,restaurants
Fumeiro de Santa Catarina,38.70987,-9.149197,restaurants
Ao 26 – vegan food project,38.71023967192333,-9.143994988341474,restaurants
Fábrica Coffee Roasters,38.709411,-9.143618,restaurants
Basilio,38.709044,-9.133955,restaurants
Manteigaria Silva,38.707049,-9.145948,restaurants
Restaurante Frade dos Mares,38.708403,-9.153135,restaurants
Time Out Market Lisboa,38.707049,-9.145948,restaurants
Mercearia da Mila,38.707247,-9.157045,restaurants
Heim Café,38.707461,-9.15659,restaurants
Come Prima-Restaurante Pizzeria,38.704881,-9.166334,restaurants
A Grande Churrasqueira da Buraca,38.74226,-9.206612,restaurants
Montes Claros,38.717602,-9.201491,restaurants
Pastelaria Fim de Século,38.750241,-9.20789,restaurants
Restaurante Mercado do Peixe,38.712818,-9.203415,restaurants
SUD Lisboa Terrazza,38.696427,-9.191524,restaurants
Brasa do Bairro,38.736827,-9.217173,restaurants
Pão Pão Queijo Queijo,38.69755,-9.203762,restaurants
Restaurante do Clube Naval,38.694298,-9.202338,restaurants
Feitoria,38.693306,-9.21055,restaurants
Maria Azeitona,38.757549,-9.235114,restaurants
O Nosso Prego,38.767942,-9.239255,restaurants
Restaurante Beira Alta,38.758514,-9.245122,restaurants
Abakua Café,38.710791,-9.289854,restaurants
Pizzarias Verde Amarelo,38.623846,-9.114167,restaurants
Restaurante Casa da Dízima,38.695502,-9.290265,restaurants
Oriental Palace,38.632282,-9.104128,restaurants
Primavera Pastelaria,38.615105,-9.189525,restaurants
Gym,38.777244,-9.095801,gym
The Little Gym,38.749291,-9.169415,gym
Gym @ Four Season Ritz,38.725527,-9.15485,gym
Gym Chez Moi,38.734843,-9.133385,gym
Gym @ Intercontinental Lisbon,38.726687,-9.15535,gym
Hotel Altis Avenida Fit Gym,38.714713,-9.140967,gym
Clube VII,38.727183,-9.153499,gym
GO fit,38.768933,-9.111941,gym
Fitness Hut,38.724601,-9.146344,gym
Complexo Desportivo Supera Areeiro,38.744791,-9.138807,gym
Academia Life Club,38.705933,-9.152978,gym
I am Fit,38.782314,-9.095761,gym
Holmes Place,38.728574,-9.147521,gym
Ginásio Clube Português,38.721432,-9.156902,gym
Fitness Hut,38.720786,-9.159798,gym
Holmes Place,38.762351,-9.161238,gym
Fitness Hut,38.723649,-9.213827,gym
Complexo de Piscinas do EUL,38.755594,-9.161463,gym
Holmes Place,38.736844,-9.144028,gym
Envy Health & Fitness,38.711532,-9.139763,gym
Pump Fitness Spirit Alvalade,38.763763,-9.159382,gym
Infante Sagres - Nautilus Health Club,38.695573,-9.212919,gym
The Bakery CrossFit,38.723654,-9.139552,gym
Fitness Hut,38.739339,-9.147083,gym
GO Fit Campo Grande,38.75269,-9.151053,gym
Jarda Gym,38.765441,-9.238646,gym
Fitness Hut,38.708279,-9.15073,gym
Pista de Atletismo Municipal Prof. Moniz Pereira,38.782443,-9.153581,gym
Fitness Hut,38.844104,-9.162135,gym
Solinca Health & Fitness Club Alfragide,38.724289,-9.2182,gym
Club L - Lagoas Health Club,38.714168,-9.308992,gym
Club L - Villa Park Health Club,38.760918,-9.24255,gym
Jazzy Life Club - S. Domingos Benfica,38.747147,-9.186669,gym
Holmes Place Parque das Nações,38.774655,-9.097752,gym
Jazzy Life Club,38.752703,-9.184713,gym
Aquafitness,38.604147,-9.182765,gym
Aquafitness Health Club's,38.624666,-9.20287,gym
Squash Olaias,38.742099,-9.123121,gym
Mr Big Evolution,38.699798,-9.339387,gym
Equinow - Fitness & Aqua Club,38.741608,-9.123134,gym
Fitness Hut,38.734647,-9.139495,gym
Fitness Hut Odivelas,38.782142,-9.192265,gym
João Marujo - Fitness Hut,38.65821,-9.173802,gym
Fitness Hut,38.743323,-9.139145,gym
Fitness Hut,38.730747,-9.148237,gym
Fitness Hut,38.716662,-9.238068,gym
