Name,Latitude,Longitude
Nómada,38.737893,-9.149409
Casa Nepalesa,38.73864,-9.151451
Restaurante Laurentina - O Rei do Bacalhau,38.73707,-9.151371
À Parte,38.733559,-9.14277
Ground Burger,38.73541,-9.154459
A Tasquinha do Lagarto,38.734531,-9.164548
Jockey Restaurante,38.757231,-9.161214
Forno d'Oro,38.723484,-9.154295
Rubro Avenida,38.722197,-9.146165
SEEN by Olivier Lisboa,38.72105,-9.147013
JNcQUOI,38.720303,-9.144972
Cervejaria Ramiro,38.720278,-9.135726
Seagull Method Café,38.714645,-9.150025
Café da Garagem,38.715509,-9.132756
Fabrica da Nata,38.712745,-9.138587
Volver by Chakall,38.770188,-9.1608
Quase Café,38.713454,-9.130241
Beher Lisboa,38.712388,-9.137638
Il Matriciano,38.711938,-9.152855
Miss Can Petiscaria,38.712045,-9.131178
Quiosque Portas do Sol,38.712211,-9.130051
Bifanas do Sr. Afonso,38.711528,-9.135633
Taberna Sal Grosso,38.713698,-9.124194
Fumeiro de Santa Catarina,38.70987,-9.149197
Ao 26 – vegan food project,38.71023967192333,-9.143994988341474
Fábrica Coffee Roasters,38.709411,-9.143618
Basilio,38.709044,-9.133955
Manteigaria Silva,38.707049,-9.145948
Restaurante Frade dos Mares,38.708403,-9.153135
Time Out Market Lisboa,38.707049,-9.145948
Mercearia da Mila,38.707247,-9.157045
Heim Café,38.707461,-9.15659
Come Prima-Restaurante Pizzeria,38.704881,-9.166334
A Grande Churrasqueira da Buraca,38.74226,-9.206612
Montes Claros,38.717602,-9.201491
Pastelaria Fim de Século,38.750241,-9.20789
Restaurante Mercado do Peixe,38.712818,-9.203415
SUD Lisboa Terrazza,38.696427,-9.191524
Brasa do Bairro,38.736827,-9.217173
Pão Pão Queijo Queijo,38.69755,-9.203762
Restaurante do Clube Naval,38.694298,-9.202338
Feitoria,38.693306,-9.21055
Maria Azeitona,38.757549,-9.235114
O Nosso Prego,38.767942,-9.239255
Restaurante Beira Alta,38.758514,-9.245122
Abakua Café,38.710791,-9.289854
Pizzarias Verde Amarelo,38.623846,-9.114167
Restaurante Casa da Dízima,38.695502,-9.290265
Oriental Palace,38.632282,-9.104128
Primavera Pastelaria,38.615105,-9.189525
