Name,Latitude,Longitude
Parque da Fonte Luminosa,38.737068,-9.132833
Parque Eduardo VII,38.727874,-9.152194
Jardim do Campo Grande,38.756776,-9.153793
Estufa Fria,38.729568,-9.154986
Parque da Quinta das Conchas,38.771248,-9.155848
Baía dos Golfinhos,38.742436,-9.170831
Jardim das Amoreiras,38.722251,-9.156472
Parque da Serafina,38.733674,-9.17815
Parque Florestal de Monsanto,38.720852,-9.192971
Anfiteatro Keil do Amaral,38.72021,-9.19403
Parque do Tejo,38.777562,-9.092096
Mata de Benfica - Parque Silva Porto,38.749056,-9.204695
Parque da Bela Vista,38.749865,-9.124538
Passeio do Tejo,38.780835,-9.090983
Parque José Gomes Ferreira,38.754598,-9.141906
Praça da Alegria,38.717635,-9.145494
Tapada das Necessidades,38.708877,-9.170716
Jardim da Torre de Belém,38.699208,-9.181407
Parque Oeste - Alta de Lisboa,38.780372,-9.150839
Parque da Paz,38.659039,-9.165192
Parque Urbano do Jamor,38.704785,-9.25539
Reptilário,38.743229,-9.172541
Parque Urbano Francisco Caldeira Cabral,38.711601,-9.224868
Jardim Professor Francisco Caldeira Cabral em Lisboa,38.759951,-9.165572
Campo dos Mártires da Pátria,38.721625,-9.139935
KidZania,38.776182,-9.221156
Mata S.Domingos Benfica,38.74718,-9.186505
Terreiro dos Radicais - Skate Park,38.787045,-9.092202
Passeio das Tágides,38.770807,-9.092327
Parque Bensaúde,38.753583,-9.177232
Poets' Park (Parque dos Poetas),38.702053,-9.30247
Leões Marinhos,38.744165,-9.171229
Parque da Cidade do Barreiro,38.649588,-9.056476
Parque da Cidade,38.825622,-9.161822
Parque Recreativo dos Moinhos de Santana,38.705859,-9.204928
Parque Urbano Quinta de Santo António,38.709313,-9.229153
Jardim Municipal de Oeiras,38.68882,-9.315005
Jardim Urbano da Costa de Caparica,38.650563,-9.237679
Parque Catarina Eufémia,38.661037,-9.07894
Pena Park (Parque da Pena),38.787771,-9.38766
"Parque Vale do Silêncio, Olivais Sul",38.767258,-9.114806
Parque da Liberdade,38.796421,-9.386283
Parque Marechal Carmona,38.694177,-9.422922
Jardim Almeida Garrett,38.781892,-9.10968
Parque Morais,38.688574,-9.356091
Paço de Arcos Garden (Jardim de Paço de Arcos),38.693971,-9.292388
Quinta da Atalaia,38.631685,-9.119147
Parque de Odivelas,38.787749,-9.176278
Quinta da Granja de Cima,38.752591,-9.193549
Jardim Quinta da Alagoa,38.6937,-9.33851
Estádio Universitário de Lisboa,38.753594,-9.163212
Sport Lisboa e Benfica (Estádio do Sport Lisboa e Benfica),38.752634,-9.184581
MEO Arena,38.76853,-9.09403
José Alvalade Stadium (Estádio José Alvalade),38.761731,-9.160683
Pavilhão João Rocha - Sporting Clube Portugal,38.763959,-9.159621
Parque de Jogos 1º de Maio - INATEL,38.75155,-9.137661
Bancada Emirates,38.752595,-9.184855
Centro de Ténis do Jamor,38.708189,-9.252795
Pavilhão Fidelidade,38.751774,-9.183412
Praça de Toiros da Moita,38.654767,-8.98896
Campo Treinos SLB,38.753245,-9.182461
Portekiz Lizbon,38.711041,-9.139777
Agronomia Rugby,38.716709,-9.1904
Pavilhão Paz e Amizade,38.829147,-9.164914
Cidade do Futebol,38.70486,-9.274866
Praça de Touros de Alcochete,38.755837,-8.955771
Pavilhão Municipal Casal Vistoso,38.743198,-9.128561
Estádio do Restelo,38.702511,-9.207896
Estádio António Coimbra da Mota,38.715941,-9.406128
Praça de Touros Palha Blanco,38.94998,-8.991133
Praça de Touros do Montijo,38.707861,-8.964666
Pavilhão Desportivo da Ajuda,38.705777,-9.183925
Parque Desportivo Carlos Queiroz,38.723542,-9.226409
Pavilhão do Clube Atlético de Campo de Ourique,38.718702,-9.161957
Estádio Pinto Basto,38.713603,-9.210574
Atlético Clube de Portugal,38.709367,-9.181868
Sport Futebol Palmense,38.749098,-9.169976
Pavilhão Municipal do Alto do Moinho,38.634365,-9.159562
Estádio Nacional,38.70884,-9.260676
Estádio Municipal de Oeiras,38.700422,-9.304213
Pavilhão Mun. Torre da Marinha,38.616946,-9.100318
Campo de Honra - Estádio Universitário de Lisboa,38.750971,-9.162083
Indoor Padel Center,38.717733,-9.221641
FC Alverca - Complexo Desportivo,38.898044,-9.036105
Vitoria Clube de Lisboa,38.734595,-9.121308
CDUL Rugby - Campo 4,38.756459,-9.16307
Cit Padel Amoreiras,38.725959,-9.164393
Pavilhão dos Loios,38.759829,-9.123221
Maria Pia Sport Clube,38.719015,-9.130496
Campo Eng. Carlos Salema,38.743866,-9.108905
Tasco do Operário Futebol Clube de Lisboa,38.721869,-9.121192
Pista de Atletismo da Sobreda,38.646031,-9.175478
Caco,38.727227,-9.172913
Clube Oriental de Lisboa,38.743491,-9.108343
Clube Ferroviário de Portugal,38.739059,-9.107937
Campo dos Pupilos do Exército,38.748413,-9.184634
Saint Benedict Stadium,38.711199,-9.154379
Bancada Setor 3 Red Power,38.752111,-9.184505
Sector 41,38.752622,-9.18463
Piso 0 - Sector 24 Estadio da Luz,38.753414,-9.184646
