Name,Latitude,Longitude
Fogg Bar Birras & Cheese,40.412335,-3.697985
1862 Dry Bar,40.424136,-3.706563
Salmon Guru,40.414875,-3.699518
Bodega de la Ardosa,40.423769,-3.701818
Casa Gerardo,40.409185,-3.711943
La Mayor,40.415106,-3.712051
La Virgen Cerveza Pura,40.499456,-3.889043
Vinoteca Vides,40.421027,-3.697231
La Tienda de la Cerveza,40.410561,-3.708148
Mad Brewing,40.43507,-3.631287
Cervecería Polar,40.452334,-3.707084
La Canibal,40.407495,-3.696503
Casa Macareno,40.425918,-3.704816
InClan Brutal Bar,40.415058,-3.70189
Maimu,40.42894,-3.703849
Sagasta,40.428759,-3.701858
Cervecería Schoppen,40.547985,-3.640624
El Sur de Huertas,40.413654,-3.699419
Lobby Westin Palace,40.415084,-3.695304
Mercado de San Miguel,40.415382,-3.70895
Takos,40.418938,-3.703748
La Pescadería,40.422886,-3.703032
La Castela,40.42027,-3.676574
Casa González,40.414078,-3.698935
Bodegas Rosell,40.403727,-3.690897
Ten Con Ten,40.427815,-3.688551
Plaza Mayor,40.41499,-3.707201
Lavinia,40.430191,-3.684333
Carmencita Bar,40.426078,-3.707352
Vinoteca Moratín,40.412527,-3.695455
Azotea Círculo de Bellas Artes,40.418255,-3.696485
The Hat Madrid,40.414235,-3.707136
Taberna Laredo,40.420182,-3.675157
Angelita Madrid,40.420313,-3.700518
Bee Beer,40.421892,-3.696943
Rosi la Loca,40.415733,-3.702907
Alimentación Quiroga,40.413768,-3.699448
El Sur,40.411053,-3.69952
Labirratorium,40.433781,-3.708548
Alabaster,40.418223,-3.689839
El Imparcial,40.412012,-3.705853
Sala de Despiece,40.437915,-3.69953
Picalagartos Sky Bar,40.419832,-3.701152
Toma Café,40.426456,-3.705968
La Cabaña Argentina,40.415712,-3.699011
Tipos Infames,40.424755,-3.701095
Puerta del Sol,40.416918,-3.70325
El Paraguas,40.423744,-3.685827
Hola Coffee,40.406951,-3.699029
Taberna Origen,40.426594,-3.716323
