Name,Latitude,Longitude
Myst Gym Club,40.416597,-3.705452
Holiday Gym,40.426269,-3.674121
Holiday Gym,40.393793,-3.764777
Opera Gym,40.42009,-3.709722
Holiday Gym Garden,40.406983,-3.659217
Holiday Gym,40.451526,-3.693638
Fitup Shot Urban Gym,40.396044,-3.693598
The Gym At The Madrid Edition,40.417847,-3.70615
Rebel Gym,40.443375,-3.696102
Viding,40.427924,-3.673652
Palacio Santa Ana,40.4144579168501,-3.7019124627113342
GoFit Vallehermoso,40.44075,-3.709133
Metropolitan Eurobuilding,40.458131,-3.685796
DreamFit Ventas,40.433378,-3.656728
AltaFit Estudiantes,40.44221,-3.686156
Crossfit Singular Box,40.427032,-3.662392
Arsenal Proyectos Deportivos,40.429602,-3.673021
Holmes Place Premium Fitness Clubs,40.452965,-3.692915
GO ﬁt Piscinas San Miguel,40.392457,-3.717857
Fitness Sports Valle de las Cañas,40.419827,-3.820189
CDM Go Fit Peñagrande,40.47699,-3.717502
McFit,40.402613,-3.697999
Basic-Fit Madrid Glorieta de Cádiz,40.388167,-3.700054
Metropolitan,40.437979,-3.693837
Reebok Sports Club la Finca,40.41998,-3.803886
AltaFit Puerta de Toledo,40.405164,-3.707666
David Lloyd Aravaca,40.472634,-3.768337
Urban Box Crossfit,40.402866,-3.702051
Forus Getafe,40.324417,-3.714263
FitUp,40.4149,-3.709191
Basic-Fit Madrid Delicias,40.404305,-3.693791
Físico,40.454959,-3.86867
Centro Deportivo el Sardinero,40.394937,-3.878359
Paidesport Center,40.406802,-3.726266
McFit,40.435612,-3.659154
Body Factory La Gavia,40.368306,-3.607922
GoFit Montecarmelo,40.499932,-3.714117
Spacio Deportivo el Capricho,40.45445,-3.593161
Gimnasio Urban Fitness,40.429128,-3.643901
Centro de Ocio el Horno,40.411033,-3.704505
Crossfit las Rozas,40.500245,-3.892088
VivaGym Embajadores | Gimnasio en Madrid,40.405691,-3.699464
Basic-Fit Madrid,40.41368,-3.70247
O2 Centro Wellness,40.429151,-3.681786
Basic-Fit Madrid,40.403678,-3.71342
Factory Fit,40.435286,-3.630201
CrossFit Krig Retiro,40.411067,-3.671959
Forus Coslada,40.429592,-3.562352
HealthCity,40.457513,-3.694797
Basic-Fit Madrid Goya,40.42534,-3.682934
