Name,Latitude,Longitude,Local_type
Fogg Bar Birras & Cheese,40.412335,-3.697985,Bar
1862 Dry Bar,40.424136,-3.706563,Bar
Salmon Guru,40.414875,-3.699518,Bar
Bodega de la Ardosa,40.423769,-3.701818,Bar
Casa Gerardo,40.409185,-3.711943,Bar
La Mayor,40.415106,-3.712051,Bar
La Virgen Cerveza Pura,40.499456,-3.889043,Bar
Vinoteca Vides,40.421027,-3.697231,Bar
La Tienda de la Cerveza,40.410561,-3.708148,Bar
Mad Brewing,40.43507,-3.631287,Bar
Cervecería Polar,40.452334,-3.707084,Bar
La Canibal,40.407495,-3.696503,Bar
Casa Macareno,40.425918,-3.704816,Bar
InClan Brutal Bar,40.415058,-3.70189,Bar
Maimu,40.42894,-3.703849,Bar
Sagasta,40.428759,-3.701858,Bar
Cervecería Schoppen,40.547985,-3.640624,Bar
El Sur de Huertas,40.413654,-3.699419,Bar
Lobby Westin Palace,40.415084,-3.695304,Bar
Mercado de San Miguel,40.415382,-3.70895,Bar
Takos,40.418938,-3.703748,Bar
La Pescadería,40.422886,-3.703032,Bar
La Castela,40.42027,-3.676574,Bar
Casa González,40.414078,-3.698935,Bar
Bodegas Rosell,40.403727,-3.690897,Bar
Ten Con Ten,40.427815,-3.688551,Bar
Plaza Mayor,40.41499,-3.707201,Bar
Lavinia,40.430191,-3.684333,Bar
Carmencita Bar,40.426078,-3.707352,Bar
Vinoteca Moratín,40.412527,-3.695455,Bar
Azotea Círculo de Bellas Artes,40.418255,-3.696485,Bar
The Hat Madrid,40.414235,-3.707136,Bar
Taberna Laredo,40.420182,-3.675157,Bar
Angelita Madrid,40.420313,-3.700518,Bar
Bee Beer,40.421892,-3.696943,Bar
Rosi la Loca,40.415733,-3.702907,Bar
Alimentación Quiroga,40.413768,-3.699448,Bar
El Sur,40.411053,-3.69952,Bar
Labirratorium,40.433781,-3.708548,Bar
Alabaster,40.418223,-3.689839,Bar
El Imparcial,40.412012,-3.705853,Bar
Sala de Despiece,40.437915,-3.69953,Bar
