Name,Latitude,Longitude
Tres Cerditos,40.397256,-3.694159
Plenti,40.412146,-3.696457
La Cabaña Argentina,40.415712,-3.699011
Takos,40.418938,-3.703748
La Pescadería,40.422886,-3.703032
La Hummuseria,40.423439,-3.700042
Aarde,40.419701,-3.689125
Honest Greens Hortaleza,40.424816,-3.697854
Taberna Origen,40.426594,-3.716323
Konnichiwa,40.427891,-3.701765
El Paraguas,40.423744,-3.685827
Amazónico,40.423675,-3.68509
Zuma Madrid,40.426315,-3.689566
Ultramarinos Quintin,40.423929,-3.685366
Lamucca de Almagro,40.428375,-3.695205
La Castela,40.42027,-3.676574
Ten Con Ten,40.427815,-3.688551
Casa Dani,40.427112,-3.685708
Taberna Laredo,40.420182,-3.675157
Honest Greens Serrano,40.428724,-3.687555
Las Tortillas de Gabino,40.433857,-3.69389
Fratelli Figurato,40.438919,-3.697848
Cañadío Madrid,40.433338,-3.674813
Honest Greens Velázquez,40.43751,-3.683314
Casa Benigna,40.448152,-3.674383
Asador Donostiarra,40.461687,-3.69571
Urrechu,40.419462,-3.79698
Taberna Entretres,40.439919,-3.790221
Everest Tandoori,40.464214,-3.649527
A'Fenestella,40.468188,-3.638647
El Barco Aparicio,40.445919,-3.801874
Filandón,40.504818,-3.716831
Pirata's,40.338088,-3.813527
La General,40.470722,-3.580532
Jiménez Restaurante,40.473143,-3.837731
The Black co,40.284837,-3.789971
Panorama Oyster Bar,40.458993,-3.861228
El Ochenta,40.470903,-3.851016
Verde Oliva Gastroteca,40.468145,-3.871037
Flanker,40.494123,-3.880463
Pizzería tipica il gusto per l'autentico,40.237584,-3.768064
La Ricarda,40.303221,-3.904241
Shoopo HomeBar,40.59616,-3.705341
La Churrasquita,40.596136,-3.698596
Restaurante Patati´ss,40.23687,-3.764927
Cafetería Gran Vía,40.242623,-3.698601
Sabor y Sazón Venezolano,40.596727,-3.701416
100 Montaditos,40.2406,-3.690748
Casa Emeterio,40.597125,-3.702323
El templo de la cerveza,40.218728,-3.75749
