Name,Latitude,Longitude
Colegio Amorós,40.371765,-3.754781
CAE Centro de Simuladores,40.458222,-3.531052
International College Spain,40.517059,-3.642438
Colegio San Javier,40.397865,-3.705306
Colegio Nazaret Oporto,40.390298,-3.728161
Colegio Rafaela Ybarra,40.379553,-3.710338
Salesianos San Miguel Arcángel,40.41029,-3.734597
Colegio Publico Portugal,40.424884,-3.714747
Colegio de Fomento los Olmos,40.411641,-3.667202
Gredos San Diego Vallecas,40.380983,-3.652511
Colegio Buen Consejo,40.447295,-3.713039
Facultad de Derecho,40.450525,-3.730828
Centro de Educacion Infantil y Primaria Doctor Tolosa Latour,40.381933,-3.641937
Colegio Público Manuel Bartolomé Cossio,40.38129,-3.771671
Colegio Sagrada Familia,40.406417,-3.635199
Colegio Ártica,40.360834,-3.755932
Colegio Maria Virgen,40.455282,-3.684777
Colegio Nuestra Señora del Recuerdo,40.46854,-3.67765
Ies Tetuan de las Victorias,40.473088,-3.697336
Ceip Alvaro de Bazán,40.421492,-3.607405
Colegio Fuentelarreyna,40.483961,-3.729305
Liceo Sorolla,40.447097,-3.812721
Colegio Príncipes de Asturias,40.457047,-3.806624
Colegio Alameda de Osuna,40.455258,-3.594886
"Colegio Cortes de Cádiz, Sanchinarro",40.498712,-3.655559
Santa Maria la Blanca,40.511141,-3.697142
Colegio Estudiantes las Tablas,40.508844,-3.679331
Colegio Público Gabriela Mistral,40.507731,-3.667536
Cp Carmen Conde,40.34251,-3.833862
Colegio Highlands Encinar,40.503931,-3.638563
C.P. Mario Benedetti,40.371036,-3.549353
Colegio Suizo de Madrid,40.521048,-3.653859
Colegio Base,40.509711,-3.611135
Irlandesas,40.523553,-3.640994
Colegio Virgen de Europa,40.430662,-3.890661
Colegio Santa Teresa,40.262233,-3.85462
Colegio Público la Encina,40.519778,-3.902543
Colegio Peñalar,40.579944,-3.936899
Hospital Universitario Puerta de Hierro Majadahonda,40.450117,-3.873997
Instituto Cervantes,40.419262,-3.695219
Polideportivo Ignacio Pinedo,40.314781,-3.723937
O2 Centro Wellness,40.427403,-3.668743
Universidad Carlos III - Campus Puerta de Toledo,40.406908,-3.709672
Instituto San Isidro,40.412616,-3.707359
Real Academia Española,40.415065,-3.69094
Universidad de Nebrija,40.42942,-3.713065
Universidad Pontificia Comillas,40.429908,-3.711328
IE Business School MM31,40.437816,-3.682419
IMF Institucion Academica,40.402208,-3.698502
IE University,40.43784,-3.682256
