Name,Latitude,Longitude
Prescription Cocktail Club,48.854997,2.337965
L'Avant Comptoir,48.851979,2.338802
Le Barav,48.865117,2.363114
Sherry Butt,48.853272,2.364014
Septime la Cave,48.853714,2.380365
Compagnie des Vins Surnaturels,48.851714,2.33632
Hoppy Corner,48.867701,2.347474
La Robe & la Mousse,48.851717,2.339074
CopperBay,48.869835,2.357114
Le 11ème Domaine,48.866901,2.373573
Uc-61,48.876697,2.293891
Jean Imbert au Plaza Athénée,48.866276,2.304362
Redd,48.866277139958,2.3477553778464
Mikkeller Bar Paris,48.878571,2.345377
Le Plan B,48.848983,2.290793
Bar à Bulles,48.884091,2.332286
Comestibles et Marchand de Vins,48.891357,2.343494
BrewDog le Marais,48.85897,2.362052
Bar du Bristol,48.871836,2.315045
Ground Control,48.843893,2.381458
Cercle de l'Union Interalliée,48.869154,2.320132
L'Etabli,48.886223,2.320323
L'Ebeniste du Vin,48.886077,2.318083
Candelaria,48.863031,2.364085
Les Papilles,48.844574,2.341712
Clamato,48.853568,2.380792
La Grande Epicerie Paris,48.850339,2.32396
Dersou,48.85135,2.374459
Park Hyatt Paris-Vendôme,48.868917,2.3304
Hôtel Plaza Athénée,48.866318,2.304043
La Boite aux Lettres,48.886836,2.338169
L'ilot,48.864744,2.363317
Luxembourg Garden (Jardin du Luxembourg),48.846813,2.33602
L'Avant Comptoir du Marché,48.851787,2.335417
Aux Prés,48.852731,2.330484
La Moustache Blanche,48.854553,2.367371
Shakespeare & Company,48.852591,2.347173
La Jacobine,48.853239,2.338964
Eiffel Tower (Tour Eiffel),48.858204,2.294469
The Hoxton Paris,48.870123,2.346706
Place des Vosges,48.854828,2.367452
Le Bon Marché,48.850581,2.324536
Septime,48.853515,2.380847
Canal Saint-Martin,48.87266,2.363646
Ober Mamma,48.864473,2.370121
La Vache dans les Vignes,48.869692,2.367094
Le Bistro du Périgord,48.849894,2.345194
Ritz Paris (Hôtel Ritz),48.868092,2.328868
Ze Kitchen Galerie,48.855241,2.341296
Mandarin Oriental,48.867092,2.327057
