Name,Latitude,Longitude
Gym Suédoise,48.872046,2.347098
Gym Studio,48.867414,2.372766
Gym Suédoise Mont Tonnerre,48.844282,2.318485
Gym Flash,48.834571,2.302371
Westin Gym,48.865887,2.326929
Gym Louvre,48.862275,2.341345
La Gym Suedoise,48.856247,2.379666
Renaissance Gym,48.868794,2.361043
Keep Cool,48.851764,2.363099
Battling Club 10,48.873966,2.364955
Neoness Beaugrenelle,48.845443,2.284263
Le Klay,48.865885,2.349728
CMG Sports Club One St Lazare,48.883228,2.320401
HealthCity Saint-Germain des Prés,48.850599,2.345105
Front de Seine,48.84909,2.285438
Ken Club,48.853802,2.282009
Qee,48.875247,2.335959
Neoness Bastille,48.854023,2.373156
Les Cercles de la Forme,48.849443,2.388007
Lagardere Paris Racing Ressources,48.864266,2.25538
Les Cercles de la Forme,48.883158,2.32406
Neoness Austerlitz,48.839527,2.359721
Fitness Park,48.890488,2.244641
Basic-Fit Paris Choisy,48.823265,2.361987
CMG Sports Club One Maillot,48.877877,2.285395
Reebok CrossFit Louvre,48.867346,2.33332
Keep Cool,48.892448,2.330038
Neoness République,48.867123,2.366912
Neoness Chatelet Montorgueil,48.865082,2.350102
Episod,48.871352,2.36096
gFit,48.877472,2.330338
Montana Fitness Club,48.885236,2.328246
Episod,48.867945,2.342718
Fitness Park,48.827508,2.280468
Neoness la Motte-Picquet,48.849733,2.29314
Keep Cool,48.868214,2.346667
Magic Form Paris,48.834227,2.355391
CMG Sports Club One Issy,48.826386,2.259923
Neoness Bourse-Opéra,48.868313,2.341048
Amazonia,48.892512,2.339719
Piscine intercommunale du Kremlin-Bicêtre,48.807649,2.353386
L'Usine Opéra,48.869644,2.334885
Health City,48.871181,2.304321
Neoness Fontenay-Sous-Bois,48.847886,2.488506
CrossFit Original Addicts,48.858377,2.375712
Neoness Ccial Quais D’Ivry,48.818982,2.396262
Neoness Paris Saint-Lazare,48.879744,2.329908
Blocbuster,48.905997,2.258508
Neoness Nation,48.849399,2.408617
Forest Hill Auber,48.907702,2.374682
