Name,Latitude,Longitude,Local_type
Prescription Cocktail Club,48.854997,2.337965,Bar
L'Avant Comptoir,48.851979,2.338802,Bar
Le Barav,48.865117,2.363114,Bar
Sherry Butt,48.853272,2.364014,Bar
Septime la Cave,48.853714,2.380365,Bar
Compagnie des Vins Surnaturels,48.851714,2.33632,Bar
Hoppy Corner,48.867701,2.347474,Bar
La Robe & la Mousse,48.851717,2.339074,Bar
CopperBay,48.869835,2.357114,Bar
Le 11ème Domaine,48.866901,2.373573,Bar
Uc-61,48.876697,2.293891,Bar
Jean Imbert au Plaza Athénée,48.866276,2.304362,Bar
Redd,48.866277139958,2.3477553778464,Bar
Mikkeller Bar Paris,48.878571,2.345377,Bar
Le Plan B,48.848983,2.290793,Bar
Bar à Bulles,48.884091,2.332286,Bar
Comestibles et Marchand de Vins,48.891357,2.343494,Bar
BrewDog le Marais,48.85897,2.362052,Bar
Bar du Bristol,48.871836,2.315045,Bar
Ground Control,48.843893,2.381458,Bar
Cercle de l'Union Interalliée,48.869154,2.320132,Bar
L'Etabli,48.886223,2.320323,Bar
L'Ebeniste du Vin,48.886077,2.318083,Bar
Candelaria,48.863031,2.364085,Bar
Les Papilles,48.844574,2.341712,Bar
Clamato,48.853568,2.380792,Bar
La Grande Epicerie Paris,48.850339,2.32396,Bar
Dersou,48.85135,2.374459,Bar
Park Hyatt Paris-Vendôme,48.868917,2.3304,Bar
Hôtel Plaza Athénée,48.866318,2.304043,Bar
La Boite aux Lettres,48.886836,2.338169,Bar
L'ilot,48.864744,2.363317,Bar
Luxembourg Garden (Jardin du Luxembourg),48.846813,2.33602,Bar
L'Avant Comptoir du Marché,48.851787,2.335417,Bar
Aux Prés,48.852731,2.330484,Bar
La Moustache Blanche,48.854553,2.367371,Bar
Shakespeare & Company,48.852591,2.347173,Bar
La Jacobine,48.853239,2.338964,Bar
Eiffel Tower (Tour Eiffel),48.858204,2.294469,Bar
The Hoxton Paris,48.870123,2.346706,Bar
Place des Vosges,48.854828,2.367452,Bar
Le Bon Marché,48.850581,2.324536,Bar
Septime,48.853515,2.380847,Bar
Canal Saint-Martin,48.87266,2.363646,Bar
Ober Mamma,48.864473,2.370121,Bar
La Vache dans les Vignes,48.869692,2.367094,Bar
Le Bistro du Périgord,48.849894,2.345194,Bar
Ritz Paris (Hôtel Ritz),48.868092,2.328868,Bar
Ze Kitchen Galerie,48.855241,2.341296,Bar
Mandarin Oriental,48.867092,2.327057,Bar
Gym Suédoise,48.872046,2.347098,Gym
Gym Studio,48.867414,2.372766,Gym
Gym Suédoise Mont Tonnerre,48.844282,2.318485,Gym
Gym Flash,48.834571,2.302371,Gym
Westin Gym,48.865887,2.326929,Gym
Gym Louvre,48.862275,2.341345,Gym
La Gym Suedoise,48.856247,2.379666,Gym
Renaissance Gym,48.868794,2.361043,Gym
Keep Cool,48.851764,2.363099,Gym
Battling Club 10,48.873966,2.364955,Gym
Neoness Beaugrenelle,48.845443,2.284263,Gym
Le Klay,48.865885,2.349728,Gym
CMG Sports Club One St Lazare,48.883228,2.320401,Gym
HealthCity Saint-Germain des Prés,48.850599,2.345105,Gym
Front de Seine,48.84909,2.285438,Gym
Ken Club,48.853802,2.282009,Gym
Qee,48.875247,2.335959,Gym
Neoness Bastille,48.854023,2.373156,Gym
Les Cercles de la Forme,48.849443,2.388007,Gym
Lagardere Paris Racing Ressources,48.864266,2.25538,Gym
Les Cercles de la Forme,48.883158,2.32406,Gym
Neoness Austerlitz,48.839527,2.359721,Gym
Fitness Park,48.890488,2.244641,Gym
Basic-Fit Paris Choisy,48.823265,2.361987,Gym
CMG Sports Club One Maillot,48.877877,2.285395,Gym
Reebok CrossFit Louvre,48.867346,2.33332,Gym
Keep Cool,48.892448,2.330038,Gym
Neoness République,48.867123,2.366912,Gym
Neoness Chatelet Montorgueil,48.865082,2.350102,Gym
Episod,48.871352,2.36096,Gym
gFit,48.877472,2.330338,Gym
Montana Fitness Club,48.885236,2.328246,Gym
Episod,48.867945,2.342718,Gym
Fitness Park,48.827508,2.280468,Gym
Neoness la Motte-Picquet,48.849733,2.29314,Gym
Keep Cool,48.868214,2.346667,Gym
Magic Form Paris,48.834227,2.355391,Gym
CMG Sports Club One Issy,48.826386,2.259923,Gym
Neoness Bourse-Opéra,48.868313,2.341048,Gym
Amazonia,48.892512,2.339719,Gym
Piscine intercommunale du Kremlin-Bicêtre,48.807649,2.353386,Gym
L'Usine Opéra,48.869644,2.334885,Gym
Health City,48.871181,2.304321,Gym
Neoness Fontenay-Sous-Bois,48.847886,2.488506,Gym
CrossFit Original Addicts,48.858377,2.375712,Gym
Neoness Ccial Quais D’Ivry,48.818982,2.396262,Gym
Neoness Paris Saint-Lazare,48.879744,2.329908,Gym
Blocbuster,48.905997,2.258508,Gym
Neoness Nation,48.849399,2.408617,Gym
Forest Hill Auber,48.907702,2.374682,Gym
Alliance Française,48.846326,2.328496,Schools
Collège Sévigné,48.834194,2.334477,Schools
Ecole Alsacienne,48.841088,2.333751,Schools
École élémentaire Delambre,48.841621,2.326764,Schools
Groupe Scolaire Delambre,48.841887,2.326581,Schools
Collège Stanislas,48.845414,2.327513,Schools
Neoma Business School,48.829126,2.354621,Schools
Faculté de Médecine de la Pitié-Salpêtrière,48.838093,2.360657,Schools
ILCF Paris- Institut de Langue et de Culture Françaises,48.849501,2.330162,Schools
Lycée Maximilien Vox,48.851923,2.332059,Schools
Ecole Primaire Baudricourt,48.82571,2.363124,Schools
Albert de Mun Lycée Polyvalent Privé,48.84973,2.31972,Schools
La Cuisine Paris,48.854887,2.35407,Schools
Ecole Primaire Cherbourg,48.831197,2.303855,Schools
Ecole Maternelle de l'Amiral Roussin,48.844599,2.299581,Schools
Ecole Elementaire Mairie de Paris 1er Arrondissement,48.86491,2.333736,Schools
Esaa Duperre,48.865075,2.362056,Schools
La Rochefoucauld Ecole Primaire Privée,48.858535,2.305696,Schools
Collège Claude Debussy,48.845348,2.29126,Schools
EBS Campus Eiffel,48.851004,2.288231,Schools
Ecole Elémentaire Mairie de Paris,48.872288,2.307401,Schools
Inseec,48.876244,2.370124,Schools
Efap,48.859857,2.282059,Schools
Lycée Jacques Decour,48.881491,2.343447,Schools
European Business School,48.844497,2.257366,Schools
Lycée Jean de la Fontaine,48.845121,2.256624,Schools
École Élémentaire Publique Paul Bert,48.821429,2.256154,Schools
Lycée Sainte-Marie de Neuilly,48.885129,2.281437,Schools
Lycée Pasteur,48.886162,2.273366,Schools
Greta Val-de-Marne Centre Maximilien Perret,48.786678,2.42512,Schools
École Élémentaire Publique Maritain-Renan,48.818255,2.22577,Schools
Ecole Primaire PEF,48.914954,2.331381,Schools
C.E.S Clément Guyard,48.795379,2.444998,Schools
Faculté de Droit UPEC,48.794071,2.447725,Schools
Collège de Sèvres,48.822479,2.213268,Schools
Sis,48.823673,2.213129,Schools
Ecole Nationale de Musique Marcel Dadi,48.78993,2.453197,Schools
Ecole Primaire de Polangis,48.821924,2.476669,Schools
Internationale Deutsche Schule Paris (Ecole allemande internationale de Paris),48.842967,2.203523,Schools
Auto Ecole CAC,48.914538,2.258082,Schools
Lycée Langevin Wallon,48.816999,2.500905,Schools
Faculté de Droit Paris X,48.902335,2.214598,Schools
HEC Paris,48.757808,2.169481,Schools
Station Monod,48.971869,2.294318,Schools
Clinique d'ostéopathie de l'ESO,48.836567,2.592102,Schools
Ecole St Erembert,48.896048,2.099645,Schools
Saint-Pierre Institut,48.695828,2.490818,Schools
Astonfly,48.747712,2.10094,Schools
Hôpital Armand Trousseau,48.842728,2.405341,Schools
Bibliothèque Sainte-Geneviève,48.846931,2.346064,Schools
Parc Montsouris,48.822405,2.338169,Others
Parc de la Cité Internationale Universitaire,48.818448,2.337407,Others
Square René le Gall,48.832521,2.349628,Others
Square du Temple,48.864365,2.360679,Others
Parc Monceau,48.879446,2.309156,Others
Boulangerie des Buttes Chaumont (Parc des Buttes-Chaumont),48.87941,2.389255,Others
Parc Georges Brassens,48.832582,2.300393,Others
Square Marigny,48.869009,2.312557,Others
Parc André-Citroën,48.840212,2.277744,Others
Square Barye,48.850421,2.359532,Others
Square Violet,48.844794,2.289721,Others
Parc de la Villette,48.892735,2.39034,Others
Square Jean XXIII,48.852297,2.350694,Others
Parc de Sceaux,48.769535,2.297856,Others
Parc Rives de Seine,48.855433,2.35139,Others
Parc omnisports Suzanne Lenglen,48.830769,2.270565,Others
Jardin d'Acclimatation,48.878265,2.264281,Others
Parc de Belleville,48.871005,2.384839,Others
Square d'Ajaccio,48.8578,2.315748,Others
National Estate of Saint-Cloud (Domaine National de Saint-Cloud),48.833283353596606,2.2168779373168945,Others
Halte Garderie du Parc de Passy,48.858221,2.283393,Others
Square des Batignolles,48.888039,2.315398,Others
Square Louvois,48.867968,2.337596,Others
Square Saint-Lambert,48.841517,2.297543,Others
Square du Vert-Galant,48.857433,2.340216,Others
Parc de la Planchette,48.895245,2.286187,Others
Square de la tour Saint-Jacques,48.858352,2.349462,Others
Ile saint germain,48.825227,2.258277,Others
Square Maurice Gardette,48.86167,2.379001,Others
Parc de Bercy,48.835583,2.382178,Others
Square Sarah Bernhardt,48.851563,2.402795,Others
Parc Clichy-Batignolles,48.890866,2.315218,Others
Jardin du Pré Catelan,48.865082,2.252689,Others
Parc Départemental de l'île Saint-Germain,48.827772,2.257837,Others
Jardin d'Erevan,48.864366,2.309658,Others
Parc de la Butte du Chapeau-Rouge,48.881912,2.398691,Others
L'Arboretum,48.772331,2.269307,Others
Parc du Tremblay,48.826484,2.481761,Others
Parc du Mont-Valérien,48.871643,2.209652,Others
Parc Henri Barbusse,48.820812,2.266273,Others
Parc de Bécon,48.89988,2.270221,Others
Pelouse de Reuilly,48.830193,2.406673,Others
Parc Nautique de l'Île de Monsieur,48.83216860433046,2.2236478328704834,Others
Parc Jean Moulin les Guilands,48.863344,2.42629,Others
Parc Frédéric Pic,48.818989,2.280219,Others
Parc Départemental de la Courneuve Georges-Valbon,48.937408,2.40394,Others
Parc des Cormailles,48.81539,2.386951,Others
Park of Versailles (Parc du Château de Versailles),48.810204,2.100057,Others
Parc André Malraux,48.891149,2.215759,Others
Parc de la Légion d'Honneur,48.933517,2.363586,Others
Stade Jean Bouin (Stade Jean-Bouin),48.843173,2.253038,Others
Parc des Princes,48.84137,2.252981,Others
Stade de France,48.924442,2.360052,Others
Hoops Factory,48.904519,2.37955,Others
Paris la Défense Arena,48.895703,2.229624,Others
Urban PSG,48.840839,2.254638,Others
Tennis Club de Paris,48.835464,2.256551,Others
Palais des Sports de Nanterre,48.892197,2.212085,Others
Tennis la Faluère,48.83393,2.441517,Others
Stade JP Rives,48.901222,2.259062,Others
Stade Yves du Manoir,48.929572,2.248491,Others
Centre Sportif Louis Lumiere-Vil,48.859491,2.411651,Others
Stade Porte de la Muette,48.864669,2.269137,Others
Stade Pierre de Coubertin,48.835151,2.255588,Others
Stade Championnet,48.894685,2.33415,Others
Stade Bauer,48.906137,2.341099,Others
Stade Charléty,48.818501,2.346722,Others
Accor Arena,48.838712,2.378659,Others
Stade Jules Ladoumègue,48.893117,2.397508,Others
Stade Léo-Lagrange,48.832024,2.399361,Others
Stade Baseball Jean Maréchal,48.77746,2.038753,Others
Stade Dominique Duvauchelle,48.767863,2.461524,Others
UrbanSoccer,48.88366,2.231124,Others
Centre Sportif Maryse Hilsz,48.85192,2.413072,Others
Palais des Sports Robert Charpentier,48.827505,2.268512,Others
Parc Interdépartemental des Sports,48.763147,2.429654,Others
Halle Georges Carpentier,48.820002,2.367574,Others
Stade Paul Faber,48.884009,2.284719,Others
Dream Foot,48.779596,2.478259,Others
Stade Monclar,48.891986,2.262513,Others
Stade de la Porte de Bagnolet,48.862251,2.411178,Others
Court Philippe Chatrier,48.847165,2.249342,Others
Stade Roland Garros,48.847286,2.250964,Others
Court Suzanne Lenglen,48.847372,2.246456,Others
Tennis Friant,48.824768,2.323954,Others
Gymnase Chateau des Rentiers,48.830645,2.362505,Others
Tennis de la Motte,48.845082,2.320174,Others
Tennis de la Poterne des Peupliers,48.819927,2.354979,Others
Stade Tour A Parachutes,48.817825,2.364965,Others
Le Five Paris 13,48.817731,2.365338,Others
Stade Racine,48.906404,2.311294,Others
Gymnase Jacques Duclos,48.824256,2.304814,Others
Stade Boutroux,48.822483,2.377672,Others
Stade Maurice Arnoux,48.810934,2.307071,Others
Stade Jean Bouin,48.881046,2.549888,Others
Gymnase Ducasse Kremlin-Bicêtre,48.80653,2.358036,Others
Arenes de l'Agora,48.629017,2.429322,Others
Tennis Court Opera,48.871369,2.331715,Others
Stade Marcel Cerdan,48.813719,2.28864,Others
Stade Bagneux,48.794334,2.310927,Others
La Fabrica,48.827702,2.327708,Restaurants
Le Bistro du Périgord,48.849894,2.345194,Restaurants
La Maison d'Isabelle,48.849698,2.34843,Restaurants
Au Moulin à Vent,48.848594,2.354813,Restaurants
Breizh Café,48.85165,2.338775,Restaurants
L'Avant Comptoir du Marché,48.851787,2.335417,Restaurants
Aux Prés,48.852731,2.330484,Restaurants
Le Petit Lutetia,48.848349,2.320604,Restaurants
Coya Paris,48.854333,2.324315,Restaurants
Bong,48.842726,2.305759,Restaurants
Comptoir Gourmet,48.860077,2.354379,Restaurants
Caffe Dei Fratelli,48.864724,2.333194,Restaurants
Sanukiya,48.864693,2.333777,Restaurants
Mmmozza,48.863873,2.360638,Restaurants
Clamato,48.853568,2.380792,Restaurants
Septime,48.853515,2.380847,Restaurants
ISTR,48.867455,2.357563,Restaurants
Bar Vendôme,48.868025,2.328569,Restaurants
Boulangerie Utopie,48.865345,2.368758,Restaurants
Ober Mamma,48.864473,2.370121,Restaurants
Le Casse Noix,48.853416,2.295197,Restaurants
