Name,Latitude,Longitude
La Fabrica,48.827702,2.327708
Le Bistro du Périgord,48.849894,2.345194
La Maison d'Isabelle,48.849698,2.34843
Au Moulin à Vent,48.848594,2.354813
Breizh Café,48.85165,2.338775
L'Avant Comptoir du Marché,48.851787,2.335417
Aux Prés,48.852731,2.330484
Le Petit Lutetia,48.848349,2.320604
Coya Paris,48.854333,2.324315
Bong,48.842726,2.305759
Comptoir Gourmet,48.860077,2.354379
Caffe Dei Fratelli,48.864724,2.333194
Sanukiya,48.864693,2.333777
Mmmozza,48.863873,2.360638
Clamato,48.853568,2.380792
Septime,48.853515,2.380847
ISTR,48.867455,2.357563
Bar Vendôme,48.868025,2.328569
Boulangerie Utopie,48.865345,2.368758
Ober Mamma,48.864473,2.370121
Le Casse Noix,48.853416,2.295197
Holybelly 5,48.870978,2.359787
Du Pain et des Idées,48.871214,2.362942
Libertino by Big Mamma,48.875546,2.350081
Dinand par Ferdi,48.867066,2.302344
Le Sens Unique,48.871592,2.306377
Azur Cafe,48.872267,2.304204
L'Oiseau Blanc,48.871062,2.293405
Matsuhisa Paris,48.87561,2.300635
La Cantina Chic,48.877318,2.29573
Hardware Société,48.88688,2.344651
Le Ruisseau,48.894397,2.340518
Léon de Bruxelles,48.87572,2.477506
Rajpoot,48.80481,2.484733
Les Délices de Fred,48.835147,2.498372
Pizza Vivaldi,48.843409,2.503486
Pedra Alta Pedra Mar,48.751756,2.454071
Riad Salam,48.799634,2.521943
L'Etoile d'or,48.910726,2.512257
Chez Guo,48.848697,2.556632
Foggia Ristorante,48.693876,2.293314
Cristina Pizzeria,48.931551,2.538478
L'Asiane,48.885754,2.58595
A Pattaya,48.679433,2.34214
Papaye Verte,48.698271,2.187
Le Manège,48.895319,2.095327
Vivaldi,48.686703,2.341126
El Sol Azteca,48.895479,2.092666
Pedra Alta,48.777946,2.588472
Le Pavillon de Bailly,48.838454,2.086582
