Name,Latitude,Longitude
Alliance Française,48.846326,2.328496
Collège Sévigné,48.834194,2.334477
Ecole Alsacienne,48.841088,2.333751
École élémentaire Delambre,48.841621,2.326764
Groupe Scolaire Delambre,48.841887,2.326581
Collège Stanislas,48.845414,2.327513
Neoma Business School,48.829126,2.354621
Faculté de Médecine de la Pitié-Salpêtrière,48.838093,2.360657
ILCF Paris- Institut de Langue et de Culture Françaises,48.849501,2.330162
Lycée Maximilien Vox,48.851923,2.332059
Ecole Primaire Baudricourt,48.82571,2.363124
Albert de Mun Lycée Polyvalent Privé,48.84973,2.31972
La Cuisine Paris,48.854887,2.35407
Ecole Primaire Cherbourg,48.831197,2.303855
Ecole Maternelle de l'Amiral Roussin,48.844599,2.299581
Ecole Elementaire Mairie de Paris 1er Arrondissement,48.86491,2.333736
Esaa Duperre,48.865075,2.362056
La Rochefoucauld Ecole Primaire Privée,48.858535,2.305696
Collège Claude Debussy,48.845348,2.29126
EBS Campus Eiffel,48.851004,2.288231
Ecole Elémentaire Mairie de Paris,48.872288,2.307401
Inseec,48.876244,2.370124
Efap,48.859857,2.282059
Lycée Jacques Decour,48.881491,2.343447
European Business School,48.844497,2.257366
Lycée Jean de la Fontaine,48.845121,2.256624
École Élémentaire Publique Paul Bert,48.821429,2.256154
Lycée Sainte-Marie de Neuilly,48.885129,2.281437
Lycée Pasteur,48.886162,2.273366
Greta Val-de-Marne Centre Maximilien Perret,48.786678,2.42512
École Élémentaire Publique Maritain-Renan,48.818255,2.22577
Ecole Primaire PEF,48.914954,2.331381
C.E.S Clément Guyard,48.795379,2.444998
Faculté de Droit UPEC,48.794071,2.447725
Collège de Sèvres,48.822479,2.213268
Sis,48.823673,2.213129
Ecole Nationale de Musique Marcel Dadi,48.78993,2.453197
Ecole Primaire de Polangis,48.821924,2.476669
Internationale Deutsche Schule Paris (Ecole allemande internationale de Paris),48.842967,2.203523
Auto Ecole CAC,48.914538,2.258082
Lycée Langevin Wallon,48.816999,2.500905
Faculté de Droit Paris X,48.902335,2.214598
HEC Paris,48.757808,2.169481
Station Monod,48.971869,2.294318
Clinique d'ostéopathie de l'ESO,48.836567,2.592102
Ecole St Erembert,48.896048,2.099645
Saint-Pierre Institut,48.695828,2.490818
Astonfly,48.747712,2.10094
Hôpital Armand Trousseau,48.842728,2.405341
Bibliothèque Sainte-Geneviève,48.846931,2.346064
