Name,Latitude,Longitude
Parc Montsouris,48.822405,2.338169
Parc de la Cité Internationale Universitaire,48.818448,2.337407
Square René le Gall,48.832521,2.349628
Square du Temple,48.864365,2.360679
Parc Monceau,48.879446,2.309156
Boulangerie des Buttes Chaumont (Parc des Buttes-Chaumont),48.87941,2.389255
Parc Georges Brassens,48.832582,2.300393
Square Marigny,48.869009,2.312557
Parc André-Citroën,48.840212,2.277744
Square Barye,48.850421,2.359532
Square Violet,48.844794,2.289721
Parc de la Villette,48.892735,2.39034
Square Jean XXIII,48.852297,2.350694
Parc de Sceaux,48.769535,2.297856
Parc Rives de Seine,48.855433,2.35139
Parc omnisports Suzanne Lenglen,48.830769,2.270565
Jardin d'Acclimatation,48.878265,2.264281
Parc de Belleville,48.871005,2.384839
Square d'Ajaccio,48.8578,2.315748
National Estate of Saint-Cloud (Domaine National de Saint-Cloud),48.833283353596606,2.2168779373168945
Halte Garderie du Parc de Passy,48.858221,2.283393
Square des Batignolles,48.888039,2.315398
Square Louvois,48.867968,2.337596
Square Saint-Lambert,48.841517,2.297543
Square du Vert-Galant,48.857433,2.340216
Parc de la Planchette,48.895245,2.286187
Square de la tour Saint-Jacques,48.858352,2.349462
Ile saint germain,48.825227,2.258277
Square Maurice Gardette,48.86167,2.379001
Parc de Bercy,48.835583,2.382178
Square Sarah Bernhardt,48.851563,2.402795
Parc Clichy-Batignolles,48.890866,2.315218
Jardin du Pré Catelan,48.865082,2.252689
Parc Départemental de l'île Saint-Germain,48.827772,2.257837
Jardin d'Erevan,48.864366,2.309658
Parc de la Butte du Chapeau-Rouge,48.881912,2.398691
L'Arboretum,48.772331,2.269307
Parc du Tremblay,48.826484,2.481761
Parc du Mont-Valérien,48.871643,2.209652
Parc Henri Barbusse,48.820812,2.266273
Parc de Bécon,48.89988,2.270221
Pelouse de Reuilly,48.830193,2.406673
Parc Nautique de l'Île de Monsieur,48.83216860433046,2.2236478328704834
Parc Jean Moulin les Guilands,48.863344,2.42629
Parc Frédéric Pic,48.818989,2.280219
Parc Départemental de la Courneuve Georges-Valbon,48.937408,2.40394
Parc des Cormailles,48.81539,2.386951
Park of Versailles (Parc du Château de Versailles),48.810204,2.100057
Parc André Malraux,48.891149,2.215759
Parc de la Légion d'Honneur,48.933517,2.363586
Stade Jean Bouin (Stade Jean-Bouin),48.843173,2.253038
Parc des Princes,48.84137,2.252981
Stade de France,48.924442,2.360052
Hoops Factory,48.904519,2.37955
Paris la Défense Arena,48.895703,2.229624
Urban PSG,48.840839,2.254638
Tennis Club de Paris,48.835464,2.256551
Palais des Sports de Nanterre,48.892197,2.212085
Tennis la Faluère,48.83393,2.441517
Stade JP Rives,48.901222,2.259062
Stade Yves du Manoir,48.929572,2.248491
Centre Sportif Louis Lumiere-Vil,48.859491,2.411651
Stade Porte de la Muette,48.864669,2.269137
Stade Pierre de Coubertin,48.835151,2.255588
Stade Championnet,48.894685,2.33415
Stade Bauer,48.906137,2.341099
Stade Charléty,48.818501,2.346722
Accor Arena,48.838712,2.378659
Stade Jules Ladoumègue,48.893117,2.397508
Stade Léo-Lagrange,48.832024,2.399361
Stade Baseball Jean Maréchal,48.77746,2.038753
Stade Dominique Duvauchelle,48.767863,2.461524
UrbanSoccer,48.88366,2.231124
Centre Sportif Maryse Hilsz,48.85192,2.413072
Palais des Sports Robert Charpentier,48.827505,2.268512
Parc Interdépartemental des Sports,48.763147,2.429654
Halle Georges Carpentier,48.820002,2.367574
Stade Paul Faber,48.884009,2.284719
Dream Foot,48.779596,2.478259
Stade Monclar,48.891986,2.262513
Stade de la Porte de Bagnolet,48.862251,2.411178
Court Philippe Chatrier,48.847165,2.249342
Stade Roland Garros,48.847286,2.250964
Court Suzanne Lenglen,48.847372,2.246456
Tennis Friant,48.824768,2.323954
Gymnase Chateau des Rentiers,48.830645,2.362505
Tennis de la Motte,48.845082,2.320174
Tennis de la Poterne des Peupliers,48.819927,2.354979
Stade Tour A Parachutes,48.817825,2.364965
Le Five Paris 13,48.817731,2.365338
Stade Racine,48.906404,2.311294
Gymnase Jacques Duclos,48.824256,2.304814
Stade Boutroux,48.822483,2.377672
Stade Maurice Arnoux,48.810934,2.307071
Stade Jean Bouin,48.881046,2.549888
Gymnase Ducasse Kremlin-Bicêtre,48.80653,2.358036
Arenes de l'Agora,48.629017,2.429322
Tennis Court Opera,48.871369,2.331715
Stade Marcel Cerdan,48.813719,2.28864
Stade Bagneux,48.794334,2.310927
