Name,Latitude,Longitude
The Clumsies,37.978934,23.730015
CV Distiller,37.976233,23.751668
Warehouse Speciality Blends,37.984256,23.736908
Vintage Wine Bar & Bistro,37.975963,23.728663
Upupa Epops - The Bar,37.974172,23.710398
Μπλε Παπαγάλος,37.982826,23.720201
Jazz In Jazz,37.979262,23.742657
The Local Pub,38.021022,23.801875
Scala Vinoteca,37.981609,23.738168
Bootleg,38.004176,23.796442
Β Κουτί,38.035295,23.735777
Corks & Forks,37.931472,23.645836
Επί της Δεξαμενής cafe cocktail bar,37.965842,23.709983
Βιλατζ,37.997651,23.735419
BARATIN Drink & Dine Home Bar,38.035664,23.738825
Brokies MoodBar,37.991117,23.849702
Paleo,37.950282,23.642727
Malt,37.976511,23.650327
Moorings Cafe Bar Restaurant,37.953491,23.736698
Little Tree Books & Coffee,37.968316,23.72736
Τα Καραμανλιδικα Του Φανη,37.979968,23.725805
GB Roof Garden Restaurant,37.9762,23.735449
Lotte,37.967143,23.727031
Yiasemi (Γιασεμί),37.973493,23.727897
Ρακορ,37.980504,23.717213
Espressaki,37.983553,23.760427
Grand Bretagne Hotel Athens,37.9762,23.735449
Drupes & Drips,37.967864,23.726719
Momo,37.957146,23.701324
Mind The Cup,38.011807,23.693201
Superfly Cafe,37.965026,23.743627
Άμα Λάχει στης Νεφέλης,37.987919,23.736821
Mr Vertigo,37.976707,23.741284
Πορτατίφ,37.981461,23.737324
Feyrouz,37.978241,23.727821
Στάνη Γαλακτοπωλείο,37.985465,23.727693
Sushimou,37.974472,23.732407
Λάικα,37.98295,23.711553
Μέντα,38.070985,23.812476
Elvis (Έλβις),37.981185,23.716327
Match Point,37.991636,23.730872
Stylitis (Στυλίτης),37.968242,23.762754
Της Θεάτρου Το Στέκι,37.980571,23.725487
Press Cafe,37.971547,23.745
Falafellas,37.978356,23.727915
Simul,37.977926,23.750412
Qahwa Coffee Bar,37.991625,23.677926
Temple of Hephaistos (Ναός Ηφαίστου),37.97553,23.721606
Lefkes (Λεύκες),38.013535,23.75072
Kaya,37.976926,23.733331
