Name,Latitude,Longitude
Gym,37.984987,23.721305
Gym,37.989306,23.741411
BodyShape gym,37.988725,23.722794
Gym Spot,37.978294,23.710977
Athlesis Gym,37.978891,23.739733
Hyper Progressive GYM,37.978817,23.765505
Golden Gym,37.997385,23.737107
Golden Gym,38.016128,23.754384
Avelkiou Gym,38.011969,23.751513
Guinness Gym,37.988397,23.760628
FitnessPlus Gym,37.968445,23.753924
Pagratio Gym,37.962964,23.741665
Corpus Gym,37.946187,23.71699
Gyzi Base Gym George Papadimakis,37.989864,23.747468
Pitbull Gym,37.955239,23.711949
'Gym Fanatic' Fitness Club,37.955039,23.736432
Adidas Runbase,37.966386,23.728397
Holmes Place,37.976885,23.734476
Reebok CrossFit Primal,37.956254,23.677409
The Concept Ταυρος,37.964853,23.699241
Personal Studio by George Papadimakis,37.988509,23.748977
The Fitting Room,37.976185,23.742662
Royal CrossFit,38.007911,23.708343
Zarou Zone,37.977417,23.707973
Exclusive Fitness Box Philadelphia,38.038522,23.745163
Icon Fitness - Chalandri,38.014801,23.790437
Cross Training Club,37.941973,23.7139
Gazibox Crossfit,37.975108,23.707283
2 Be Fit,37.991447,23.67824
The concept group fitness terminals,37.935266,23.743673
Corpo Fitness Studio,37.926676,23.690724
Crossfit Psychiko Nine 76,38.000018,23.773418
Heartbeat Training Studio,37.929384,23.703034
Cross Garage,37.987049,23.765304
The cor of fitness,38.042486,23.688727
Reborn Training,37.953934,23.713768
Yava Fitness Center - Burnazi,38.014755,23.707762
Twins Fit Aliki & Maria Dimakopoulou,37.926267,23.743368
Personal Group by George Papadimakis (Γυμναστήριο),37.9965,23.772518
La Fitness,38.051837,23.766805
Melekos Health Club,37.913118,23.743606
Κολυμβητήριο Ηλιούπολης,37.924731,23.761878
Fitness Elite,37.952912,23.71591
Studio Kinisis,38.038789,23.774528
Fitness Games,37.953234,23.710036
CrossFit North Zone,38.010233,23.851174
Workout Hall,37.91326,23.736141
CrossFit Piraeus,37.952157,23.63632
Alterlife Boutique - Stavros,38.009816,23.847018
New Yorkers Fitness Club,38.033366,23.825763
