Name,Latitude,Longitude
Εθνικό Ωδείο Αθηνών,37.973406,23.744508
Προγράμματα Ενηλίκων Κολλέγιο Αθηνών-Ψυχικού,38.01826,23.780808
Αρσάκεια Σχολεία Ψυχικού,38.013953,23.778277
"Δημοτικό Κολυμβητήριο Βύρωνα "" Χρήστος Ταμπαξης """,37.958302,23.768212
Moraitis School (Σχολή Μωραΐτη),38.011916,23.776067
Λεόντειο Λύκειο - Εκπαιδευτήριο Χρυσόστομος Σμύρνης,37.944226,23.705274
St Catherines British Embassy School,38.074262,23.791745
Εράσμειος Ελληνογερμανική Σχολή,37.98035,23.855068
Μποδοσάκειο,37.98216,23.864579
Ελληνογερμανική Αγωγή,37.998065,23.892872
Εκπαιδευτήρια Καίσαρη,37.866425,23.821297
Εκπαιδευτήρια Δούκα,38.039688,23.820266
Εκπαιδευτηρια Ο Πλατων,38.005573,23.846944
Goethe-Institut Athen,37.978878,23.735026
Κέντρο Ξένων Γλωσσών Χέλμης,37.964806,23.724483
1ος ΔΗΜΟΤΙΚΟΣ ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ,37.984672,23.753779
65th High School,38.015216,23.725342
7ο Γυμνάσιο Αθήνας (Παγκράτι),37.969213,23.747421
11ο Δημοτικό Περιστερίου,38.01737,23.703962
ΙΕΚ ΟΑΕΔ Αιγάλεω,37.997435,23.679393
Ελεύθερο Ωδείο,37.986429,23.762728
ΙΕΚ Αιγάλεω,37.980926,23.673037
Ευρωγνωση,37.959479,23.751631
Ε.Κ.Π.Α.,37.983488,23.768977
1ο & 19ο Δημοτικό σχολείο,37.979099,23.76926
12 Δημοτικό Σχολείο Καλλιθέας,37.951458,23.688342
1ο Νηπιαγωγείο Αθηνών,38.028939,23.739174
7ο & 15ο Δημοτικά Σχολεία Νέας Σμύρνης,37.939019,23.722143
3ο 4ο Δημοτικο Σχολειο Ν. Ψυχικο,37.998273,23.779061
3ο Δημοτικό Σχολείο Αγίου Δημητρίου,37.936664,23.727438
ΙΕΚ Ζωγράφου,37.973248,23.780809
Ευαγγελική Σχολή,37.931476,23.713284
6ο Δημοτικό σχολείο Ν.Ιωνίας,38.036045,23.758556
10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,37.927718,23.699969
9ο Νηπιαγωγείο Αγίου Δημητρίου,37.926181,23.731649
Γεννάδειος Σχολή,37.918221,23.722877
Εκπαιδευτήρια Μαλλιάρα,37.917487,23.715056
5o Γενικό Λύκειο Νίκαιας,37.987016,23.627604
4o Λύκειο Νέου Ηρακλείου,38.044143,23.777028
15ο Δημοτικό σχολείο Ηλιούπολης,37.91856,23.753842
2ο Δημοτικό Σχολείο Χαλανδρίου Λίτσειο,38.022289,23.805846
Μουσική Σχολή - Ήχων Εύρυθμων 2,37.952681,23.630079
33ο Δημοτικό Σχολείο Πειραιά,37.934526,23.640844
2ο Ενιαίο Λύκειο Αγίας Παρασκευής,38.016914,23.819291
Λουλουδότοπος - Louloudotopos,38.007153,23.8232
Lab Music Education,38.013495,23.822266
Εκπαιδευτήρια Γεωργίου Ζώη,37.899054,23.751309
5ο Δημοτικό Σχολείο Χαλανδρίου,38.024173,23.826433
Lycée Franco-Hellénique Eugène Delacroix,38.010501,23.83653
"Σχολείο Κωφών και Βαρυκόων, Κοντόπευκο",38.021879,23.832685
