Name,Latitude,Longitude
Camp Nou,41.380922,2.122783
Palau Sant Jordi,41.363205,2.152591
Olympic Stadium Lluís Companys (Estadi Olímpic Lluís Companys),41.36476,2.155625
Palau Blaugrana,41.380163,2.120141
RCDE Stadium,41.347733,2.075446
Padel Indoor Hospitalet,41.358233,2.10882
Pàdel Augusta,41.485018,2.058962
Pista Coberta de Catalunya,41.536402,2.124229
Ciutat Esportiva Joan Gamper FCBarcelona,41.377292,2.050366
Plaza de Toros Monumental (Plaça de Bous Monumental),41.40006,2.181206
Parc de la Ciutadella,41.388545,2.171217
Parc del Poblenou,41.397117,2.207435
Parc del Guinardó,41.419553,2.17135
Jardins del Teatre Grec,41.369578,2.159119
Jardins del Palau Robert,41.396003,2.158932
Parc de Montjuïc,41.362557,2.154415
Jardines de Joan Brossa,41.368267,2.167415
Jardins del Mirador,41.367574,2.169399
Parc del Turó del Putxet,41.40732,2.143153
Parc del Clot,41.407833,2.190267
