Name,Latitude,Longitude
Can Dendê,41.39836,2.198345
La Tavernícola,41.400358,2.197944
Little Fern,41.402328,2.197571
Parking Pizza,41.396301,2.174171
Elsa y Fred,41.389795,2.17976
Funky Bakers,41.394916,2.172866
Casa Lolea Barcelona,41.388833,2.177238
Barestaurant L’Univers,41.38642,2.178275
Bar Andalucía,41.40301,2.207488
Forn Baluard,41.379982,2.18887
BelleBuon,41.411346,2.173289
Honest Greens Rambla Catalunya,41.387526,2.167989
Ciutat Comtal,41.388858,2.166857
Baluard,41.396235,2.163216
Vinitus,41.389977,2.164035
Macchina Pasta Bar,41.380122,2.176738
La Pepita,41.398016,2.161031
Cecconi's,41.37848,2.179446
Cervecería Catalana,41.392376,2.160808
Bar Cañete,41.379099,2.173131
Forn Mistral,41.384608,2.1641
Pizza Circus,41.377945,2.172923
La Flauta,41.386876,2.161108
Comida de Olla,41.412203,2.164128
El Pachuco,41.376494,2.1691
Chivuo's,41.40495,2.153926
Rekons,41.380631,2.160955
Parking Pizza,41.393794,2.151435
Quimet & Quimet,41.37392,2.165612
Ugot Bruncherie,41.381367,2.155379
The Egg Lab,41.378512,2.156292
Copasetic Barcelona,41.380191,2.153277
Manso's Café,41.375466,2.15879
The Fish & Chips Shop,41.378592,2.154501
El Asador de Aranda,41.430292,2.185992
Mantequerias Pirenaicas,41.401941,2.139299
Triki-Trac,41.381494,2.14144
Txokoa Barcelona,41.390107,2.138875
Negro-Rojo,41.390963,2.13547
El Asador de Aranda,41.413324,2.134448
Kobuta Ramen,41.369808,2.133189
Granja Elena,41.362754,2.137446
Antichi Sapori de Angelis,41.375874,2.119249
Plats,41.359379,2.073295
Can Pizza Prat,41.325417,2.09885
CÈNTRIC Gastrobar by ONA nuit,41.322088,2.09416
Serrajòrdia,41.46827,2.079203
La Burgueseria,41.466996,2.078581
Can Ferran,41.512784,2.05169
Can Mont Cad,41.582304,2.131627
