Name,Latitude,Longitude
Gym,38.777244,-9.095801
The Little Gym,38.749291,-9.169415
Gym @ Four Season Ritz,38.725527,-9.15485
Gym Chez Moi,38.734843,-9.133385
Gym @ Intercontinental Lisbon,38.726687,-9.15535
Hotel Altis Avenida Fit Gym,38.714713,-9.140967
Clube VII,38.727183,-9.153499
GO fit,38.768933,-9.111941
Fitness Hut,38.724601,-9.146344
Complexo Desportivo Supera Areeiro,38.744791,-9.138807
Academia Life Club,38.705933,-9.152978
I am Fit,38.782314,-9.095761
Holmes Place,38.728574,-9.147521
Ginásio Clube Português,38.721432,-9.156902
Fitness Hut,38.720786,-9.159798
Holmes Place,38.762351,-9.161238
Fitness Hut,38.723649,-9.213827
Complexo de Piscinas do EUL,38.755594,-9.161463
Holmes Place,38.736844,-9.144028
Envy Health & Fitness,38.711532,-9.139763
Pump Fitness Spirit Alvalade,38.763763,-9.159382
Infante Sagres - Nautilus Health Club,38.695573,-9.212919
The Bakery CrossFit,38.723654,-9.139552
Fitness Hut,38.739339,-9.147083
GO Fit Campo Grande,38.75269,-9.151053
Jarda Gym,38.765441,-9.238646
Fitness Hut,38.708279,-9.15073
Pista de Atletismo Municipal Prof. Moniz Pereira,38.782443,-9.153581
Fitness Hut,38.844104,-9.162135
Solinca Health & Fitness Club Alfragide,38.724289,-9.2182
Club L - Lagoas Health Club,38.714168,-9.308992
Club L - Villa Park Health Club,38.760918,-9.24255
Jazzy Life Club - S. Domingos Benfica,38.747147,-9.186669
Holmes Place Parque das Nações,38.774655,-9.097752
Jazzy Life Club,38.752703,-9.184713
Aquafitness,38.604147,-9.182765
Aquafitness Health Club's,38.624666,-9.20287
Squash Olaias,38.742099,-9.123121
Mr Big Evolution,38.699798,-9.339387
Equinow - Fitness & Aqua Club,38.741608,-9.123134
Fitness Hut,38.734647,-9.139495
Fitness Hut Odivelas,38.782142,-9.192265
João Marujo - Fitness Hut,38.65821,-9.173802
Fitness Hut,38.743323,-9.139145
Fitness Hut,38.730747,-9.148237
Fitness Hut,38.716662,-9.238068
Fitness Hut Lumiar,38.77253,-9.159776
Casa Vinyasa,38.729743,-9.150796
100% Fit Clube,38.781394,-9.348436
Holmes Place Amoreiras,38.722779,-9.160805
