Name,Latitude,Longitude
Citeforma,38.738252,-9.150053
Rumos,38.750881,-9.148776
Colégio do Sagrado Coração de Maria,38.735178,-9.136561
Colégio de São Vicente de Paulo,38.75958,-9.151388
Externato do Parque - Irmãs Doroteias,38.725406,-9.157467
Faculdade de Ciências Médicas,38.720333,-9.139684
Escola Alemã de Lisboa,38.759104,-9.164329
Os Violinos de Lisboa,38.744398,-9.175511
Colégio de São Tomás,38.767533,-9.150373
Neuropa,38.720519,-9.167154
Escola Secundária do Lumiar,38.769922,-9.16242
Colégio São João de Brito,38.774186,-9.158525
Oficinas de S. José - Associação Educativa,38.713792,-9.168133
Colégio Militar,38.760081,-9.183666
Escola Secundária António Damásio,38.770413,-9.108224
ECL -Escola de Comércio de LISBOA,38.781001,-9.120468
Externato de São José,38.710208,-9.216001
Escola Secundária da Ramada,38.80297,-9.185513
Escola Secundária Amélia Rey Colaço,38.706419,-9.242523
Escola Secundária Padre Alberto Neto,38.754284,-9.252139
Escola Eb1 Massamá,38.757955,-9.273788
Centro de Formação Profissional do Seixal,38.627738,-9.126288
Agrupamento de Escolas de São Bruno,38.707791,-9.274264
Escola Secundária Augusto Cabrita,38.657876,-9.05893
Escola Básica José Cardoso Pires,38.655897,-9.238172
Colégio Bartolomeu Dias,38.850307,-9.079663
Forus Escola de Condução,38.620941,-9.12882
Escola Aquilino Ribeiro,38.73404,-9.304667
Creche Chuxinhas,38.8593,-9.080123
Escola Secundária Luís de Freitas Branco,38.697155,-9.298352
Colégio da Torre,38.697499,-9.298466
"Escola Básica de Foros de Amora, Seixal",38.610079,-9.133645
"Escola Eb 2, 3 D. Martinho Vaz de Castelo Branco",38.86381,-9.071615
Colégio Vasco da Gama,38.794225,-9.312014
Escola Secundária Leal da Câmara,38.782613,-9.318381
Escola Secundária Sebastião e Silva,38.686044,-9.31724
Escola Secundária de Carcavelos,38.699141,-9.336012
Colégio Marista de Carcavelos,38.692315,-9.343434
Escola Basica Ferreira de Castro,38.797062,-9.351586
Cais,38.768873,-9.380564
Liceu de São João do Estoril,38.701904,-9.383595
Escola Secundária Ibn Mucana,38.735003,-9.405335
Colegio Salesianos Estoril,38.705218,-9.40238
Colegio Amor de Deus,38.714278,-9.417862
Externato Nossa Senhora do Rosario,38.69776,-9.438038
Escola Basica dos 2 e 3 Ciclos Hermenegildo Capelo,38.575114,-8.900326
Escola Secundária Artística António Arroio,38.736625,-9.127273
Instituto Português de Oncologia de Francisco Gentil,38.739775,-9.161241
Universidade de Lisboa,38.752939,-9.157813
Hospital VET Escolar Faculdade Medicina Veterinária,38.714727,-9.194585
